split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,8,106,13.3,0,46,0,0,0.0,0,0,0,0,Jerry Jeudy
Home,3,25,8.3,0,11,0,0,0.0,0,0,0,0,Jerry Jeudy
Away,5,81,16.2,0,46,0,0,0.0,0,0,0,0,Jerry Jeudy
