Group,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,5,81,16.2,0,46,0,0,0.0,0,0,0,0,Jerry Jeudy
vs NFC,3,25,8.3,0,11,0,0,0.0,0,0,0,0,Jerry Jeudy
