Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,2,14,7.0,0,7,0,0,0.0,0,0,0,0,Jerry Jeudy
Behind,0,0,0.0,0,0,0,0,0.0,0,0,0,0,Jerry Jeudy
Tied,1,11,11.0,0,11,0,0,0.0,0,0,0,0,Jerry Jeudy
