split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,9,8,1,1,4.5,13,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
Home,3,3,0,1,1,4,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
Away,6,5,1,0,3.5,9,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
