Opponent,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs MIA,6,5,1,0,3.5,9,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
vs OAK,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
vs WAS,2,2,0,1,1,4,0,0,0,0,0,0.0,0,0,0,Nik Bonitto
