Surface,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Grass,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,18.0,9.0,9.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Josey Jewell,15.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Justin Simmons,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,,0,0.0,0.0,1,,,,,,,,Kareem Jackson,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Grass,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,32.0,21.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,,,,,,,,,,
Turf,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,12.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,32.0,21.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,,,,,,,,,,
Turf,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,12.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,3.0,15,5.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
Grass,3.0,15,5.0,1.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lil'Jordan Humphrey,,,,,,,,,,,,,,,,,,,,,
Grass,4.0,122,30.5,1.0,60,2.0,10.0,5.0,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
Grass,7.0,195,27.9,1.0,60,3.0,13.0,4.3,0.0,8.0,0.0,0.0,Marvin Mims Jr.,,,,,,,,,,,,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Matt Henningsen,3.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
Grass,1.0,3,3.0,0.0,3,1.0,3.0,3.0,0.0,3.0,0.0,0.0,Michael Burton,,,,,,,,,,,,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Mike Purcell,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,1.0,11,11.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nate Adkins,,,,,,,,,,,,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,9.0,8.0,1.0,1.0,4.5,13.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
Grass,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,P.J. Locke,20.0,11.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Turf,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,P.J. Locke,20.0,11.0,9.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Turf,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Randy Gregory,6.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Grass,,448,44.8,,61,,39.0,7.8,,,,,Riley Dixon,,,,,,,,,,,,10.0,0.0,0.0,4.0,40.0,5.0,40.9,,,
Grass,,791,7.6,6.0,60,7.0,57.0,8.1,0.0,15.0,,,Russell Wilson,,,,10.0,,,,,,2.0,,,,,,,104.0,,68.0,65.4,99.5
Grass,9.0,54,4.5,0.0,12,12.0,72.0,8.0,0.0,20.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Thomas Incoom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,45.0,610,13.6,3.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Turf,8.0,124,15.5,2.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Tremon Smith,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Grass,1.0,0,0.0,0.0,0,1.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
Grass,,0,0.0,0.0,0,,,,,,,,Zach Allen,7.0,2.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
