Quarter,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,1,1.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.0,0.9,0.10,0.11,13,13.0,13.1,5,5.0,5.1,61.0,61,61.1,0.00,100.00,1.2,10,10.0,51.0,CMP,ATT,CMP%,RTG
4th,,0,0.0,0,0,,,,,,,,Randy Gregory,2,1,1,0.0,1,-3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd,,,,,,,,,,,,,Riley Dixon,,,,,,,,,,,,3,2,0,,,,,,,,,,,,,,,,,,,39.3,44,118,0.00,66.67,1,5,5.0,37.7,,,,
Quarter,,,,,,,,,,,,,Riley Dixon,,,,,,,,,,,,PUNTS,IN20,TB,,,,,,,,,,,,,,,,,,,AVG,LNG,YDS,TB%,IN20%,ATT,YDS,AVG,NET,,,,
3rd,,,,,,,,,,,,,Riley Dixon,,,,,,,,,,,,2,1,0,,,,,,,,,,,,,,,,,,,47.0,48,94,0.00,50.00,1,3,3.0,45.5,,,,
4th,1.0,12,12.0,0,12,1.0,5.0,5.0,0.0,5.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Thomas Incoom,1,1,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd,,0,0.0,0,0,,,,,,,,Tremon Smith,0,0,0,0.0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd,1.0,0,0.0,0,0,0.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,0.0,0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,,0,0.0,0,0,,,,,,,,Zach Allen,4,1,3,0.0,1,-3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
