Group,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
vs AFC,1.0,0,0.0,0.0,0,0.0,-7.0,-7.0,0.0,-7.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
vs NFC,0.0,5,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
vs Div,1.0,0,0.0,0.0,0,0.0,-7.0,-7.0,0.0,-7.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
vs AFC,4.0,52,4.0,0.0,11,13.0,5.0,1.3,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
vs NFC,2.0,44,3.7,0.0,15,12.0,14.0,7.0,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
vs Div,4.0,52,4.0,0.0,11,13.0,5.0,1.3,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
vs AFC,5.0,81,16.2,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
vs NFC,3.0,25,8.3,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,39.0,21.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,21.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,9.0,4.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,4.0,1.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,4.0,2.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,10.0,6.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,8.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Josey Jewell,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Josey Jewell,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Josey Jewell,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Justin Simmons,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Justin Simmons,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Justin Simmons,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,1,,,,,,,,Kareem Jackson,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,1,,,,,,,,Kareem Jackson,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,28.0,21.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,16.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,K'Waun Williams,15.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,
