split,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Home,1.0,5,5.0,1.0,5,1.0,-7.0,-7.0,0.0,-7.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
All Splits,8.0,138,3.8,0.0,16,36.0,42.0,5.3,0.0,17.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Home,6.0,96,3.8,0.0,15,25.0,19.0,3.2,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
All Splits,8.0,106,13.3,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Home,3.0,25,8.3,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Away,5.0,81,16.2,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
All Splits,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,46.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Home,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,17.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Away,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,29.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
All Splits,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,13.0,5.0,8.0,0.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Home,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,8.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Away,,0,0.0,0.0,0,,,,,,,,Jonathan Harris,5.0,2.0,3.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
All Splits,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,18.0,9.0,9.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Home,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,11.0,5.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Away,,0,0.0,0.0,0,,,,,,,,Jonathon Cooper,7.0,4.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
All Splits,,0,0.0,0.0,0,,,,,,,,Josey Jewell,19.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Home,,0,0.0,0.0,0,,,,,,,,Josey Jewell,15.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Away,,0,0.0,0.0,0,,,,,,,,Josey Jewell,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
All Splits,,0,0.0,0.0,0,,,,,,,,Justin Simmons,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Home,,0,0.0,0.0,0,,,,,,,,Justin Simmons,14.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
All Splits,,0,0.0,0.0,1,,,,,,,,Kareem Jackson,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Home,,0,0.0,0.0,1,,,,,,,,Kareem Jackson,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Away,,0,0.0,0.0,0,,,,,,,,Kareem Jackson,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
All Splits,,0,0.0,0.0,1,,,,,,,,K'Waun Williams,44.0,30.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,,,,,,,,,,
