Field Position,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 21-50,1,0,0.0,0,0,0,0,0.0,0,0,0,0,Tyler Badie
Opp 49-20,0,0,0.0,0,0,1,24,24.0,1,24,0,0,Tyler Badie
