Group,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
vs AFC,1,0,0.0,0,0,1,24,24.0,1,24,0,0,Tyler Badie
vs Div,1,0,0.0,0,0,1,24,24.0,1,24,0,0,Tyler Badie
