split,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,1,0,0.0,0,0,1,24,24.0,1,24,0,0,Tyler Badie
Home,1,0,0.0,0,0,1,24,24.0,1,24,0,0,Tyler Badie
