Pt Diff,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
Ahead,1,0,0.0,0,0,0,0,0.0,0,0,0,0,Tyler Badie
Tied,0,0,0.0,0,0,1,24,24.0,1,24,0,0,Tyler Badie
