Quarter,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
3rd,0,0,0.0,0,0,1,24,24.0,1,24,0,0,Tyler Badie
4th,1,0,0.0,0,0,0,0,0.0,0,0,0,0,Tyler Badie
