split,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,1,5,5.0,1,5,1,-7,-7.0,0,-7,0,0,Jaleel McLaughlin
Home,1,5,5.0,1,5,1,-7,-7.0,0,-7,0,0,Jaleel McLaughlin
