Field Position,CAR,YDS,AVG,TD,LNG,REC,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 21-50,0,0,0.0,0,0,1,-7,-7.0,0,-7,0,0,Jaleel McLaughlin
Opp 19-Goal,1,5,5.0,1,5,0,0,0.0,0,0,0,0,Jaleel McLaughlin
