Depth Chart,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
As Starter,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
As Sub,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
