Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
vs NFC,3,2,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
vs Div,2,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Essang Bassey
