Surface,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
Grass,32,21,11,1,0,1,0,0,0,1,0,0.0,0,1,7,K'Waun Williams
Turf,12,9,3,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
