Close,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
"4th QTR, +/-7",7,5,2,0,1,-1,0,0,0,1,0,0.0,0,0,1,K'Waun Williams
Last 2 Min. Half,9,5,4,0,1,-1,0,0,0,1,0,0.0,0,0,1,K'Waun Williams
