Season Games,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
1-8,29,22,7,1,0,1,0,0,0,1,0,0.0,0,1,4,K'Waun Williams
9-16,15,8,7,0,0,0,0,0,0,0,0,0.0,0,0,3,K'Waun Williams
