Victory Margin,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
0-7,11,7,4,0,0,1,0,0,0,1,0,0.0,0,1,2,K'Waun Williams
8-14,4,2,2,0,0,0,0,0,0,0,0,0.0,0,0,0,K'Waun Williams
