split,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
All Splits,6,3,3,1,1,3,0,0,0,0,0,0.0,0,0,1,Randy Gregory
Home,6,3,3,1,1,3,0,0,0,0,0,0.0,0,0,1,Randy Gregory
