Group,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
vs AFC,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Randy Gregory
vs NFC,5,3,2,1,1,3,0,0,0,0,0,0.0,0,0,1,Randy Gregory
vs Div,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Randy Gregory
