split,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
All Splits,2,22,11.0,0,13,0,0,0.0,0,0,0,0,Greg Dulcich
Home,2,22,11.0,0,13,0,0,0.0,0,0,0,0,Greg Dulcich
