Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS,AVG,TD,LNG,FUM,LST,Player Name
Own 21-50,1,9,9.0,0,9,0,0,0.0,0,0,0,0,Greg Dulcich
Opp 49-20,1,13,13.0,0,13,0,0,0.0,0,0,0,0,Greg Dulcich
