Depth Chart,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,YDS,AVG,TD,LNG,PD,Player Name
As Starter,8,4,4,0,1.5,0,0,0,0,0,0,0.0,0,0,1,Alex Singleton
As Sub,4,3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,Alex Singleton
